gst-plugins-bad 1.28.4-1
gst-plugins-bad-libs 1.28.4-1
gst-plugins-base 1.28.4-1
gst-plugins-base-libs 1.28.4-1
gst-plugins-good 1.28.4-1
gst-plugins-ugly 1.28.4-1
gstreamer 1.28.4-1
gtest 1.17.0-2.1
gtk-layer-shell 0.10.1-1.1
gtk-update-icon-cache 1:4.22.4-1.1
gtk3 1:3.24.52-1.1
gtk4 1:4.22.4-1.1
gtk4-layer-shell 1.3.0-1.1
gtkmm-4.0 4.22.0-2.1
gtkmm3 3.24.11-1.1
gtksourceview4 4.8.4-2.1
gtksourceview5 5.20.0-1.1
guile 3.0.11-1.1
gumbo-parser 0.13.2-1.1
gupnp 1:1.6.10-1.1
gupnp-igd 1.6.0-2.3
gwenview 26.04.2-1.1
gzip 1.14-2.1
handy-bin 0.8.3-1
harfbuzz 14.2.1-1.1
harfbuzz-icu 14.2.1-1.1
haruna 1.8.1-1.1
hdparm 9.65-3.1
headsetcontrol-git 3.1.0.r87.gda4477e-1
headsetkontrol 2.0.4-4
heroic-games-launcher-bin 2.22.0-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1.1
highway 1.4.0-1.1
hsa-rocr 7.2.4-1.1
htmlq 0.4.0-3.1
htop 3.5.1-1.1
hunspell 1.7.3-1.1
hwdata 0.408-1
hwdetect 2025.08.16.1333-1
hwinfo 25.4-1.1
hwloc 2.14.0-1.1
hydra-launcher-bin 4.0.3-1
hyphen 2.8.9-1.1
hyprism-bin 3.0.3-1
i2c-tools 4.4-4.1
iana-etc 20260530-1
icoextract 0.3.0-1
icu 78.3-1.1
identity 26.03-1.1
iftop 1.0pre4-6.1
iio-sensor-proxy 3.9-1.1
ijs 0.35-7.1
imagemagick 7.1.2.26-1.1
imath 3.2.2-6.1
imlib2 1.12.6-1.1
incidenceeditor 26.04.2-2.1
inetutils 2.8-1.1
iniparser 4.2.6-2.1
intel-oneapi-common 2026.0.0_235-1
intel-oneapi-mkl 2026.0.0_908-1.1
intel-oneapi-openmp 2026.0.0_947-1.1
intel-oneapi-tbb 2023.0.0_724-1.1
intel-oneapi-tcm 1.5.0_489-1.1
inxi 3.3.40.1-1
iproute2 7.1.0-1.1
iptables 1:1.8.13-1.1
iputils 20250605-1.1
iso-codes 4.20.1-1
iw 6.17-1.1
iwd 3.12-1.1
jack 0.126.0-6
jansson 2.15.0-1.1
jasper 4.2.9-1.1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-2.1
jbigkit 2.1-8.1
jdk-openjdk 26.0.1.u8-2
jdownloader2 latest-22
jemalloc 1:5.3.1-2.1
jetbrains-toolbox 3.5.0.84344-1
jfsutils 1.1.15-9.1
jq 1.8.2-1.1
json-c 0.18-2.1
json-glib 1.10.8-1.1
jsoncpp 1.9.6-3.2
jxrlib 1.3.2-1.1
kaccounts-integration 26.04.2-1.1
kaccounts-providers 26.04.2-1.1
kactivitymanagerd 6.7.1-1.1
karchive 6.27.0-1.1
karchive5 5.116.0-3.1
kate 26.04.2-1.1
kauth 6.27.0-1.1
kauth5 5.116.0-2.1
kbd 2.10.0-1.1
kbookmarks 6.27.0-1.1
kbookmarks5 5.116.0-2.1
kcalc 26.04.2-1.1
kcalendarcore 6.27.0-1.1
kcalutils 26.04.2-1.1
kcgroups 0.0.dmemcg.experimental-3
kcmutils 6.27.0-1.1
kcmutils5 5.116.0-2.1
kcodecs 6.27.0-1.1
kcodecs5 5.116.0-2.4
kcolorchooser 26.04.2-1.1
kcolorpicker 0.3.1-6
kcolorscheme 6.27.0-1.1
kcompletion 6.27.0-1.1
kcompletion5 5.116.0-2.1
kconfig 6.27.0-1.1
kconfig5 5.116.0-2.1
kconfigwidgets 6.27.0-1.1
kconfigwidgets5 5.116.0-3.1
kcontacts 1:6.27.0-1.1
kcoreaddons 6.27.0-1.1
kcoreaddons5 5.116.0-2.1
kcrash 6.27.0-1.1
